"Vessel Name","Port Call Type","Port Type","Port At Call","Port At Call Country","Port At Call Unlocode",Ata/atd,"Time At Port","Destination Port","Destination Port Country","Destination Port Unlocode","Voyage Origin Port","Origin Port Country","Origin Port Unlocode","Voyage Time Underway","Voyage Distance Travelled","Last Call","Leg Time Underway","Leg Distance Travelled","Load Condition","In Transit Port Calls","Last Call Atd",Mmsi,Imo,Draught,"Last Call Draught","Port Operation","Voyage Speed Average","Voyage Speed Max","Voyage Idle Time","Voyage Origin Port Atd","Voyage Origin Port Draught","Vessel Type - Generic","Vessel Type - Detailed","Commercial Market","Commercial Size Class",Manager,"Manager Email","Manager City","Manager Country",Owner,"Owner Email","Owner City","Owner Country","Financial Owner","Financial Owner Email","Financial Owner City","Financial Owner Country","Technical Manager","Technical Manager Email","Technical Manager City","Technical Manager Country",Insurer,"Insurer Email","Insurer City","Insurer Country",Builder,"Builder Email","Builder City","Builder Country","Class Society","Class Society Email","Class Society City","Class Society Country","Engine Builder","Engine Builder Email","Engine Builder City","Engine Builder Country","Capacity - Dwt","Capacity - Teu","Capacity - Liquid Gas","My Fleets"
"GEORGIY BRUSILOV",DEPARTURE,Port,SABETTA,RU,RUSAB,"2022-02-18 21:16:00","1d 1h 29m","SABETTA ANCH",RU,,,,,-,,,-,,"Partially Laden","Not in Transit",,212770000,9768382,12.0,,LOAD,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",LNGC,"DYNAGAS LTD",,,GREECE,"DYNAGAS LTD",,,GREECE,"ICBC FINANCIAL LEASING CO LTD",webmaster@icbcleasing.com,,CHINA,"DYNAGAS LTD",,,GREECE,"STANDARD P & I CLUB",,LONDON,U.K.,"DAEWOO SHIPBUILDING & MARINE ENGINEERING",swirifish@dsme.co.kr,GEOJE,"SOUTH KOREA","RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,"ABB MARINE  PORTS",,ZURICH,SWITZERLAND,96847,,172600,-
K.JASMINE,DEPARTURE,Port,PRIGORODNOYE,RU,RUPGN,"2022-02-17 07:37:00","1d 1h 31m",PYEONGTAEK,KR,KRPTK,,,,-,,,-,,Laden,"Not in Transit",,352906000,9373008,11.6,,LOAD,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",LNGC,"KOREA GAS CORP",,,"SOUTH KOREA","KOREA LINE CORP",gas@korealines.co.kr,,"SOUTH KOREA",,,,,"KLC SM CO LTD",klcsm@klcsm.co.kr,,"SOUTH KOREA","UK P & I CLUB",,LONDON,U.K.,"DAEWOO SHIPBUILDING & MARINE ENGINEERING",swirifish@dsme.co.kr,GEOJE,"SOUTH KOREA","KOREAN REGISTER OF SHIPPING",krbell@krs.co.kr,BUSAN,"SOUTH KOREA",KAWASAKI,,,JAPAN,84935,,145878,-
"NIKOLAY YEVGENOV",DEPARTURE,Port,SABETTA,RU,RUSAB,"2022-02-17 00:22:00","1d 42m","SABETTA ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,311000631,9750725,12.0,,LOAD,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",LNGC,"CHINA LNG SHIPPING INTERNATIONAL CO",clsico@clsico.com,,CHINA,"TEEKAY LNG PARTNERS LP TGP",,,BERMUDA,,,,,"TEEKAY SHIPPING GLASGOW LTD",_officemadrid@teekay.com,,U.K.,,,,,"DAEWOO SHIPBUILDING & MARINE ENGINEERING",swirifish@dsme.co.kr,GEOJE,"SOUTH KOREA","RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,"ABB MARINE  PORTS",,ZURICH,SWITZERLAND,96821,,172000,-
"YAKOV GAKKEL",DEPARTURE,Port,SABETTA,RU,RUSAB,"2022-02-15 20:08:00","1d 33m","SABETTA ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,311000634,9750672,12.0,,LOAD,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",LNGC,"TEEKAY SHIPPING GLASGOW LTD",_officemadrid@teekay.com,,U.K.,"TEEKAY LNG PARTNERS LP TGP",,,BERMUDA,,,,,"TEEKAY SHIPPING GLASGOW LTD",_officemadrid@teekay.com,,U.K.,,,,,,,,,"RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,,,,,97000,,172000,-
"GRAND ELENA",DEPARTURE,Port,PRIGORODNOYE,RU,RUPGN,"2022-02-15 13:22:00","1d 7h 12m",TIANJIN,CN,CNTXG,,,,-,,,-,,Laden,"Not in Transit",,209407000,9332054,11.2,,NONE,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",LNGC,"SHELL INTERNATIONAL TRADING & SHIPPING CO",,,U.K.,SOVCOMFLOTNYK,,,RUSSIA,,,,,"NYK LNG SHIPMANAGEMENT UK LTD",hitoshi.kanto@ne.nykline.com,,U.K.,"UK P & I CLUB",,LONDON,U.K.,"MHI NAGASAKI SHIPYARD & ENGINE WORKS",,NAGASAKI,JAPAN,"LLOYDS REGISTER OF SHIPPING",Lloydsreg@lr.org,LONDON,U.K.,"MITSUBISHI HEAVY INDUSTRIES",,,JAPAN,74127,,147968,-
"RUDOLF SAMOYLOVICH",DEPARTURE,Port,SABETTA,RU,RUSAB,"2022-02-14 18:01:00","23h 51m","SABETTA ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,311000627,9750713,11.9,,LOAD,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",LNGC,"TEEKAY SHIPPING GLASGOW LTD",_officemadrid@teekay.com,,U.K.,"TC LNG EXPLORER II LLC",,GLASGOW,U.K.,,,,,"TEEKAY SHIPPING GLASGOW LTD",_officemadrid@teekay.com,,U.K.,"STANDARD P & I CLUB",,LONDON,U.K.,"DAEWOO SHIPBUILDING & MARINE ENGINEERING",swirifish@dsme.co.kr,GEOJE,"SOUTH KOREA","RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,"ABB MARINE  PORTS",,ZURICH,SWITZERLAND,96703,,172000,-
"CORAL ENERGICE",DEPARTURE,Port,VYSOTSK,RU,RUVYS,"2022-02-14 09:32:00","1d 13h 53m","GOTEBORG ANCH",SE,,,,,-,,,-,,Laden,"Not in Transit",,244090097,9783124,7.6,,LOAD,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",SNGC,"ANTHONY VEDER REDERIJZAKEN BV",shipman@anthonyveder.com,,NETHERLANDS,"ANTHONY VEDER REDERIJZAKEN BV",shipman@anthonyveder.com,,NETHERLANDS,,,,,"ANTHONY VEDER REDERIJZAKEN BV",shipman@anthonyveder.com,,NETHERLANDS,"UK P & I CLUB",,LONDON,U.K.,"MEYER NEPTUN ROSTOCK",info@neptunwerft.de,ROSTOCK,GERMANY,"BUREAU VERITAS",veristarinfo@bureauveritas.com,PARIS,FRANCE,"CATERPILLAR USA",,,U.S.A.,9125,,18000,-
"ENERGY NAVIGATOR",DEPARTURE,Port,PRIGORODNOYE,RU,RUPGN,"2022-02-13 19:54:00","1d 11h 39m","YOKOHAMA ANCH",JP,,,,,-,,,-,,Laden,"Not in Transit",,432634000,9355264,11.4,,NONE,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",LNGC,"TOKYO LNG TANKER CO LTDMITSUI OSK LINES LTD",,,JAPAN,"TOKYO LNG TANKER CO LTDMITSUI OSK LINES LTD",,,JAPAN,,,,,"MOL LNG TRANSPORT CO LTD",,,JAPAN,"JAPAN SHIP OWNERS P & I ASSOCIATION",,TOKYO,JAPAN,"KAWASAKI SAKAIDE WORKS",,SAKAIDE,JAPAN,"NIPPON KAIJI KYOKAI",svd@classnk.or.jp,TOKYO,JAPAN,"KAWASAKI HEAVY INDUSTRIES",Yamamoto_to@toh.khi.co.jp,KOBE,JAPAN,73640,,147558,-
"VLADIMIR VORONIN",DEPARTURE,Port,SABETTA,RU,RUSAB,"2022-02-13 13:14:00","1d 1h 48m","EL FERROL",ES,ESFRO,,,,-,,,-,,Laden,"Not in Transit",,311000632,9750737,12.0,,LOAD,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",LNGC,"CHINA LNG SHIPPING INTERNATIONAL CO",clsico@clsico.com,,CHINA,"TEEKAY LNG PARTNERS LP TGP",,,BERMUDA,,,,,"TEEKAY SHIPPING GLASGOW LTD",_officemadrid@teekay.com,,U.K.,,,,,"DAEWOO SHIPBUILDING & MARINE ENGINEERING",swirifish@dsme.co.kr,GEOJE,"SOUTH KOREA","RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,"ABB MARINE  PORTS",,ZURICH,SWITZERLAND,96840,,172000,-
"VLADIMIR RUSANOV",DEPARTURE,Port,SABETTA,RU,RUSAB,"2022-02-12 09:28:00","1d 6m","SABETTA ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,477150100,9750701,12.0,,LOAD,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",LNGC,"MOL LNG TRANSPORT EUROPE LTD",idbca@molbulk.co.uk,,U.K.,"DY MARITIME LTD",,LONDON,U.K.,,,,,"MOL LNG TRANSPORT EUROPE LTD",idbca@molbulk.co.uk,,U.K.,"UK P & I CLUB",,LONDON,U.K.,"DAEWOO SHIPBUILDING & MARINE ENGINEERING",swirifish@dsme.co.kr,GEOJE,"SOUTH KOREA","RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,"ABB MARINE  PORTS",,ZURICH,SWITZERLAND,96844,,172000,-
"GRAND ANIVA",DEPARTURE,Port,PRIGORODNOYE,RU,RUPGN,"2022-02-12 01:10:00","1d 2h ","YUNG AN",TW,TWYAN,,,,-,,,-,,"Partially Laden","Not in Transit",,212883000,9338955,9.7,,NONE,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",LNGC,"SHELL INTERNATIONAL TRADING & SHIPPING CO",,,U.K.,SOVCOMFLOTNYK,,,RUSSIA,,,,,"SCF MANAGEMENT SERVICES DUBAI LTD",,,"UNITED ARAB EMIRATES","UK P & I CLUB",,LONDON,U.K.,"MHI NAGASAKI SHIPYARD & ENGINE WORKS",,NAGASAKI,JAPAN,"DET NORSKE VERITAS GERMANISCHER LLOYD",iacs@dnvgl.com,OSLO,NORWAY,"MITSUBISHI HEAVY INDUSTRIES",,,JAPAN,74044,,145000,-
"NIKOLAY URVANTSEV",DEPARTURE,Port,SABETTA,RU,RUSAB,"2022-02-11 16:50:00","1d 3h 21m",MONTOIR,FR,FRMTX,,,,-,,,-,,Laden,"Not in Transit",,477327300,9750660,12.0,,LOAD,,,,,,Tanker,"LNG Tanker","LPG CARRIERS",VLGC,"YAMAL LNG OAO",,,RUSSIA,"MITSUI OSK LINES",pblmo@mail.mol.co.jp,,JAPAN,,,,,"MOL LNG TRANSPORT EUROPE LTD",idbca@molbulk.co.uk,,U.K.,,,,,"DAEWOO SHIPBUILDING & MARINE ENGINEERING",swirifish@dsme.co.kr,GEOJE,"SOUTH KOREA","RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,"ABB MARINE  PORTS",,ZURICH,SWITZERLAND,96779,,172000,-
"CORAL FUNGIA",DEPARTURE,Port,VYSOTSK,RU,RUVYS,"2022-02-10 15:58:00","20h 15m","VYSOTSK ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,636018930,9378292,7.7,,LOAD,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",SNGC,NOVATEK,,,RUSSIA,"ANTHONY VEDER REDERIJZAKEN BV",shipman@anthonyveder.com,,NETHERLANDS,,,,,"ANTHONY VEDER REDERIJZAKEN BV",shipman@anthonyveder.com,,NETHERLANDS,"UK P & I CLUB",,LONDON,U.K.,"TAIZHOU WUZHOU SHIPBUILDING",wuzhoushipyard@163.com,"TAIZHOU JIANGSU",CHINA,"DET NORSKE VERITAS GERMANISCHER LLOYD",iacs@dnvgl.com,OSLO,NORWAY,"CATERPILLAR USA",,,U.S.A.,10441,,10000,-
"GRAND MEREYA",DEPARTURE,Port,PRIGORODNOYE,RU,RUPGN,"2022-02-10 04:00:00","1d 36m","PRIGORODNOYE ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,209856000,9338929,9.7,,NONE,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",LNGC,"MITSUI OSKPRIMORSK SHIPPING",,,JAPAN,"MITSUI OSKPRIMORSK SHIPPING",,,JAPAN,,,,,"MOL LNG TRANSPORT CO LTD",,,JAPAN,"JAPAN SHIP OWNERS P & I ASSOCIATION",,TOKYO,JAPAN,"MITSUI ICHIHARA ENGINEERING & SHIPBUILDING",prdept@mes.co.jp,ICHIHARA,JAPAN,"LLOYDS REGISTER OF SHIPPING",Lloydsreg@lr.org,LONDON,U.K.,"MITSUBISHI HEAVY INDUSTRIES",,,JAPAN,74497,,145964,-
"BORIS DAVYDOV",DEPARTURE,Port,SABETTA,RU,RUSAB,"2022-02-08 22:25:00","1d 1h 56m",DUNKIRK,FR,FRIRK,,,,-,,,-,,Laden,"Not in Transit",,209356000,9768394,12.0,,LOAD,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",LNGC,"DYNAGAS LTD",,,GREECE,"DYNAGAS LTD",,,GREECE,"ICBC FINANCIAL LEASING CO LTD",webmaster@icbcleasing.com,,CHINA,"DYNAGAS LTD",,,GREECE,,,,,"DAEWOO SHIPBUILDING & MARINE ENGINEERING",swirifish@dsme.co.kr,GEOJE,"SOUTH KOREA","RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,"ABB MARINE  PORTS",,ZURICH,SWITZERLAND,96765,,172000,-
"CORAL FAVIA",DEPARTURE,Port,VYSOTSK,RU,RUVYS,"2022-02-08 15:53:00","20h 4m","ROTTERDAM ANCH",NL,,,,,-,,,-,,Laden,"Not in Transit",,244168000,9378280,7.3,,LOAD,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",SNGC,"ANTHONY VEDER REDERIJZAKEN BV",shipman@anthonyveder.com,,NETHERLANDS,"ANTHONY VEDER REDERIJZAKEN BV",shipman@anthonyveder.com,,NETHERLANDS,,,,,"ANTHONY VEDER REDERIJZAKEN BV",shipman@anthonyveder.com,,NETHERLANDS,"UK P & I CLUB",,LONDON,U.K.,"TAIZHOU WUZHOU SHIPBUILDING",wuzhoushipyard@163.com,"TAIZHOU JIANGSU",CHINA,"DET NORSKE VERITAS GERMANISCHER LLOYD",iacs@dnvgl.com,OSLO,NORWAY,"CATERPILLAR USA",,,U.S.A.,10445,,10000,-
K.JASMINE,DEPARTURE,Port,PRIGORODNOYE,RU,RUPGN,"2022-02-08 09:23:00","1d 1h 25m","PRIGORODNOYE ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,352906000,9373008,11.4,,LOAD,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",LNGC,"KOREA GAS CORP",,,"SOUTH KOREA","KOREA LINE CORP",gas@korealines.co.kr,,"SOUTH KOREA",,,,,"KLC SM CO LTD",klcsm@klcsm.co.kr,,"SOUTH KOREA","UK P & I CLUB",,LONDON,U.K.,"DAEWOO SHIPBUILDING & MARINE ENGINEERING",swirifish@dsme.co.kr,GEOJE,"SOUTH KOREA","KOREAN REGISTER OF SHIPPING",krbell@krs.co.kr,BUSAN,"SOUTH KOREA",KAWASAKI,,,JAPAN,84935,,145878,-
"FEDOR LITKE",DEPARTURE,Port,SABETTA,RU,RUSAB,"2022-02-07 18:06:00","1d 19h ",MONTOIR,FR,FRMTX,,,,-,,,-,,Laden,"Not in Transit",,212660000,9768370,11.9,,LOAD,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",LNGC,"DYNAGAS LTD",,,GREECE,"DYNAGAS LTD",,,GREECE,"ICBC FINANCIAL LEASING CO LTD",webmaster@icbcleasing.com,,CHINA,"DYNAGAS LTD",,,GREECE,,,,,"DAEWOO SHIPBUILDING & MARINE ENGINEERING",swirifish@dsme.co.kr,GEOJE,"SOUTH KOREA","RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,"ABB MARINE  PORTS",,ZURICH,SWITZERLAND,96839,,177000,-
"CYGNUS PASSAGE",DEPARTURE,Port,PRIGORODNOYE,RU,RUPGN,"2022-02-06 23:35:00","1d 3h 59m",ANEGASAKI,JP,JPANE,,,,-,,,-,,Laden,"Not in Transit",,309739000,9376294,11.0,,LOAD,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",LNGC,"LNG MARINE TRANSPORT LTD",,,JAPAN,"TOKYO ELECTRICNYKMITSUBISHI CORP",,,JAPAN,,,,,"NYK LNG SHIPMANAGEMENT LTD",,TOKYO,JAPAN,"JAPAN SHIP OWNERS P & I ASSOCIATION",,TOKYO,JAPAN,"MHI NAGASAKI SHIPYARD & ENGINE WORKS",,NAGASAKI,JAPAN,"LLOYDS REGISTER OF SHIPPING",Lloydsreg@lr.org,LONDON,U.K.,"MITSUBISHI HEAVY INDUSTRIES",,,JAPAN,79555,,145400,-
"VLADIMIR VIZE",DEPARTURE,Port,SABETTA,RU,RUSAB,"2022-02-06 23:31:00","1d 13h 57m","SABETTA ANCH",RU,,,,,-,,,-,,"Partially Laden","Not in Transit",,477194200,9750658,10.4,,NONE,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",LNGC,"MOL LNG TRANSPORT EUROPE LTD",idbca@molbulk.co.uk,,U.K.,"MITSUI OSKHOEGH LNG",,,U.K.,,,,,"MOL LNG TRANSPORT EUROPE LTD",idbca@molbulk.co.uk,,U.K.,,,,,"DAEWOO SHIPBUILDING & MARINE ENGINEERING",swirifish@dsme.co.kr,GEOJE,"SOUTH KOREA","RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,"ABB MARINE  PORTS",,ZURICH,SWITZERLAND,96851,,172600,-
